source,title,authors,year,published,abstract,url,query
arXiv,Accelerometer-based control of an industrial robotic arm,Pedro Neto; Norberto Pires; Paulo Moreira,2013,2013-09-09,"Most of industrial robots are still programmed using the typical teaching process, through the use of the robot teach pendant. In this paper is proposed an accelerometer-based system to control an industrial robot using two low-cost and small 3-axis wireless accelerometers. These accelerometers are attached to the human arms, capturing its behavior (gestures and postures). An Artificial Neural Network (ANN) trained with a back-propagation algorithm was used to recognize arm gestures and postures",http://arxiv.org/abs/1309.2090v1,robot arm handoff industrial operator clearance
arXiv,High-level robot programming based on CAD: dealing with unpredictable environments,Pedro Neto; Nuno Mendes; Ricardo Araújo; J. Norberto Pires; A. Paulo Moreira,2013,2013-09-09,"Purpose - The purpose of this paper is to present a CAD-based human-robot interface that allows non-expert users to teach a robot in a manner similar to that used by human beings to teach each other.   Design/methodology/approach - Intuitive robot programming is achieved by using CAD drawings to generate robot programs off-line. Sensory feedback allows minimization of the effects of uncertainty, providing information to adjust the robot paths during robot operation.   Findings - It was found tha",http://arxiv.org/abs/1309.2086v1,robot arm handoff industrial operator clearance
arXiv,Pedipulate: Enabling Manipulation Skills using a Quadruped Robot's Leg,Philip Arm; Mayank Mittal; Hendrik Kolvenbach; Marco Hutter,2024,2024-02-16,"Legged robots have the potential to become vital in maintenance, home support, and exploration scenarios. In order to interact with and manipulate their environments, most legged robots are equipped with a dedicated robot arm, which means additional mass and mechanical complexity compared to standard legged robots. In this work, we explore pedipulation - using the legs of a legged robot for manipulation. By training a reinforcement learning policy that tracks position targets for one foot, we en",http://arxiv.org/abs/2402.10837v1,robot arm handoff industrial operator clearance
arXiv,Scientific Exploration of Challenging Planetary Analog Environments with a Team of Legged Robots,Philip Arm; Gabriel Waibel; Jan Preisig; Turcan Tuna; Ruyi Zhou et al.,2023,2023-07-19,"The interest in exploring planetary bodies for scientific investigation and in-situ resource utilization is ever-rising. Yet, many sites of interest are inaccessible to state-of-the-art planetary exploration robots because of the robots' inability to traverse steep slopes, unstructured terrain, and loose soil. Additionally, current single-robot approaches only allow a limited exploration speed and a single set of skills. Here, we present a team of legged robots with complementary skills for expl",http://arxiv.org/abs/2307.10079v1,robot arm handoff industrial operator clearance
arXiv,"Metarobotics for Industry and Society: Vision, Technologies, and Opportunities",Eric Guiffo Kaigom,2024,2024-03-31,"Metarobotics aims to combine next generation wireless communication, multi-sense immersion, and collective intelligence to provide a pervasive, itinerant, and non-invasive access and interaction with distant robotized applications. Industry and society are expected to benefit from these functionalities. For instance, robot programmers will no longer travel worldwide to plan and test robot motions, even collaboratively. Instead, they will have a personalized access to robots and their environment",http://arxiv.org/abs/2404.00797v2,robot arm handoff industrial operator clearance
arXiv,Collaborative Robot Arm Inserting Nasopharyngeal Swabs with Admittance Control,Peter Q. Lee; John S. Zelek; Katja Mombaur,2024,2024-08-21,"The nasopharyngeal (NP) swab sample test, commonly used to detect COVID-19 and other respiratory illnesses, involves moving a swab through the nasal cavity to collect samples from the nasopharynx. While typically this is done by human healthcare workers, there is a significant societal interest to enable robots to do this test to reduce exposure to patients and to free up human resources. The task is challenging from the robotics perspective because of the dexterity and safety requirements. Whil",http://arxiv.org/abs/2408.11688v1,robot arm handoff industrial operator clearance
arXiv,Challenges and Opportunities in Securing the Industrial Internet of Things,Martin Serror; Sacha Hack; Martin Henze; Marko Schuba; Klaus Wehrle,2021,2021-11-23,"Given the tremendous success of the Internet of Things in interconnecting consumer devices, we observe a natural trend to likewise interconnect devices in industrial settings, referred to as Industrial Internet of Things or Industry 4.0. While this coupling of industrial components provides many benefits, it also introduces serious security challenges. Although sharing many similarities with the consumer Internet of Things, securing the Industrial Internet of Things introduces its own challenges",http://arxiv.org/abs/2111.11714v1,robot arm handoff industrial operator clearance
arXiv,Regular Operators on Hilbert C^*-modules,Arupkumar Pal,1999,1999-06-25,"A regular operator T on a Hilbert C^*-module is defined just like a closed operator on a Hilbert space, with the extra condition that the range of (I+T^*T) is dense. Semiregular operators are a slightly larger class of operators that may not have this property. It is shown that, like in the case of regular operators, one can, without any loss in generality, restrict oneself to semiregular operators on C^*-algebras. We then prove that for abelian C^*-algebras as well as for subalgebras of the alg",http://arxiv.org/abs/math/9906169v1,robot arm handoff industrial operator clearance
arXiv,Automatic Design of Task-specific Robotic Arms,Ruta Desai; Margarita Safonova; Katharina Muelling; Stelian Coros,2018,2018-06-19,"We present an interactive, computational design system for creating custom robotic arms given high-level task descriptions and environmental constraints. Various task requirements can be encoded as desired motion trajectories for the robot arm's end-effector. Given such end-effector trajectories, our system enables on-demand design of custom robot arms using a library of modular and reconfigurable parts such as actuators and connecting links. By searching through the combinatorial set of possibl",http://arxiv.org/abs/1806.07419v1,robot arm handoff industrial operator clearance
arXiv,Human Robot Pacing Mismatch,Muchen Sun; Peter Trautman; Todd Murphey,2024,2024-03-03,"A widely accepted explanation for robots planning overcautious or overaggressive trajectories alongside human is that the crowd density exceeds a threshold such that all feasible trajectories are considered unsafe -- the freezing robot problem. However, even with low crowd density, the robot's navigation performance could still drop drastically when in close proximity to human. In this work, we argue that a broader cause of suboptimal navigation performance near human is due to the robot's misju",http://arxiv.org/abs/2403.01542v1,adaptive robot speed human proximity collision
arXiv,Advantages of Multimodal versus Verbal-Only Robot-to-Human Communication with an Anthropomorphic Robotic Mock Driver,Tim Schreiter; Lucas Morillo-Mendez; Ravi T. Chadalavada; Andrey Rudenko; Erik Billing et al.,2023,2023-07-03,"Robots are increasingly used in shared environments with humans, making effective communication a necessity for successful human-robot interaction. In our work, we study a crucial component: active communication of robot intent. Here, we present an anthropomorphic solution where a humanoid robot communicates the intent of its host robot acting as an ""Anthropomorphic Robotic Mock Driver"" (ARMoD). We evaluate this approach in two experiments in which participants work alongside a mobile robot on v",http://arxiv.org/abs/2307.00841v1,adaptive robot speed human proximity collision
arXiv,Human-Robot Teaming Field Deployments: A Comparison Between Verbal and Non-verbal Communication,Tauhid Tanjim; Promise Ekpo; Huajie Cao; Jonathan St. George; Kevin Ching et al.,2025,2025-06-10,"Healthcare workers (HCWs) encounter challenges in hospitals, such as retrieving medical supplies quickly from crash carts, which could potentially result in medical errors and delays in patient care. Robotic crash carts (RCCs) have shown promise in assisting healthcare teams during medical tasks through guided object searches and task reminders. Limited exploration has been done to determine what communication modalities are most effective and least disruptive to patient care in real-world setti",http://arxiv.org/abs/2506.08890v2,adaptive robot speed human proximity collision
arXiv,"Human Gaze and Head Rotation during Navigation, Exploration and Object Manipulation in Shared Environments with Robots",Tim Schreiter; Andrey Rudenko; Martin Magnusson; Achim J. Lilienthal,2024,2024-06-10,"The human gaze is an important cue to signal intention, attention, distraction, and the regions of interest in the immediate surroundings. Gaze tracking can transform how robots perceive, understand, and react to people, enabling new modes of robot control, interaction, and collaboration. In this paper, we use gaze tracking data from a rich dataset of human motion (THÖR-MAGNI) to investigate the coordination between gaze direction and head rotation of humans engaged in various indoor activities ",http://arxiv.org/abs/2406.06300v1,adaptive robot speed human proximity collision
arXiv,LLM-based ambiguity detection in natural language instructions for collaborative surgical robots,Ana Davila; Jacinto Colan; Yasuhisa Hasegawa,2025,2025-07-15,"Ambiguity in natural language instructions poses significant risks in safety-critical human-robot interaction, particularly in domains such as surgery. To address this, we propose a framework that uses Large Language Models (LLMs) for ambiguity detection specifically designed for collaborative surgical scenarios. Our method employs an ensemble of LLM evaluators, each configured with distinct prompting techniques to identify linguistic, contextual, procedural, and critical ambiguities. A chain-of",http://arxiv.org/abs/2507.11525v1,adaptive robot speed human proximity collision
